,album_uri,album_title,uri,song_title,first_artist,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature	
25,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:1I7MQWuGQPxuEplPwEhj8i,Tamatoa's Lair,Mark Mancina,['Mark Mancina'],0.255,0.238,1.0,-15.966,1.0,0.0523,0.663,0.841,0.523,0.0569,140.311,165947.0,4.0	
26,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:66XM8JXKr9A39wBMqIbytS,Great Escape,Mark Mancina,['Mark Mancina'],0.438,0.707,0.0,-8.973,0.0,0.161,0.489,0.52,0.158,0.436,86.335,59707.0,4.0	
27,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:3hZJ36jOs508nezkO740EM,If I Were the Ocean,Mark Mancina,['Mark Mancina'],0.0637,0.00846,9.0,-35.604,0.0,0.0411,0.948,0.123,0.102,0.0376,68.576,181613.0,4.0	
28,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:0IvBHyirLy7fLickwsqyA4,Te Ka Attacks,Mark Mancina,"['Mark Mancina', ""Opetaia Foa'i""]",0.334,0.901,9.0,-8.583,1.0,0.103,0.564,0.895,0.116,0.145,127.897,101080.0,4.0	
29,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:6KpgqZwN6zen3qtOaz6rPl,Maui Leaves,Mark Mancina,['Mark Mancina'],0.17,0.0427,7.0,-15.32,1.0,0.048,0.706,0.952,0.104,0.0268,114.305,125333.0,3.0	
30,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:1p5dAU2s6kekj05gRVImTH,Heartache,Mark Mancina,['Mark Mancina'],0.17,0.05,9.0,-27.055,0.0,0.0421,0.991,0.951,0.0719,0.0646,124.618,39253.0,4.0	
31,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:2TPAS9lv9qceJT7o8oSNep,Tala Returns,Mark Mancina,['Mark Mancina'],0.281,0.075,0.0,-24.905,1.0,0.0436,0.81,0.698,0.0822,0.0397,44.998,61987.0,3.0	
32,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:3XBQciUm8idlYY3XoxlTiC,Sails to Te Fiti,Mark Mancina,"['Mark Mancina', ""Opetaia Foa'i""]",0.268,0.674,10.0,-10.377,1.0,0.117,0.497,0.905,0.0754,0.158,85.715,346307.0,3.0	
33,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:7BjEZBsds3n6tN9KTEZpK4,Shiny Heart,Mark Mancina,['Mark Mancina'],0.115,0.0297,4.0,-27.694,0.0,0.0371,0.701,0.00292,0.103,0.0373,73.326,36693.0,3.0	
34,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:1xSEPN2WYdq8xrAXpCG9CO,Te Fiti Restored,Mark Mancina,"['Mark Mancina', ""Opetaia Foa'i""]",0.347,0.838,6.0,-8.783,0.0,0.0995,0.554,0.957,0.0813,0.0786,131.757,63347.0,3.0	
35,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:1ytmdDK5IqzTGhmEc4gHIt,Hand of a God,Mark Mancina,['Mark Mancina'],0.349,0.139,3.0,-13.141,1.0,0.0468,0.914,0.0969,0.12,0.0776,120.115,30093.0,3.0	
36,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:6Y5hGmficfyzKfSQtRpOch,Voyager Tagaloa,Mark Mancina,"['Mark Mancina', ""Opetaia Foa'i""]",0.63,0.818,5.0,-8.569,1.0,0.0358,0.208,0.00877,0.214,0.173,112.125,57267.0,4.0	
37,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:23LqDcaYel42gfSJ05tsC0,Toe Feiloa'i,Mark Mancina,['Mark Mancina'],0.19,0.645,11.0,-8.593,1.0,0.0405,0.884,0.888,0.116,0.0437,115.388,85333.0,3.0	
38,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:4izlxzOjLPRzWy6Co5x0N0,Navigating Home,Mark Mancina,['Mark Mancina'],0.19,0.396,1.0,-11.837,0.0,0.0428,0.977,0.85,0.069,0.0711,67.197,47987.0,4.0	
39,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:1hVanDiOYB9WLcRDbyo9xo,The Return to Voyaging,Mark Mancina,"['Mark Mancina', ""Opetaia Foa'i""]",0.556,0.624,9.0,-10.639,1.0,0.0341,0.492,0.655,0.104,0.223,112.723,61987.0,4.0	
40,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:00FWuEBvnitgpbMSk0XIoN,Unstoppable - Outtake,Lin-Manuel Miranda,['Lin-Manuel Miranda'],0.617,0.624,4.0,-8.733,0.0,0.41,0.399,0.0,0.0743,0.366,130.085,239427.0,4.0	
41,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:2W8R0DqYzyHMe6DKYRKjSP,More - Outtake,Marcy Harriell,['Marcy Harriell'],0.75,0.466,3.0,-8.208,1.0,0.393,0.741,0.0,0.0903,0.581,95.738,196480.0,4.0	
42,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:6ZGoXOzTtHZCfKLUdypJp9,More - Reprise - Outtake,Marcy Harriell,['Marcy Harriell'],0.512,0.347,2.0,-10.445,1.0,0.0686,0.777,1.26e-06,0.0871,0.263,83.092,158800.0,4.0	
43,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:2m7EWjTKCfNqrAdL1FSpd4,Warrior Face - Outtake,Lin-Manuel Miranda,['Lin-Manuel Miranda'],0.622,0.548,11.0,-8.492,0.0,0.2,0.466,0.0,0.211,0.301,135.001,136680.0,4.0	
44,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:504Ip38tLo9RbbSPIuThPB,Where You Are - Demo,Lin-Manuel Miranda,['Lin-Manuel Miranda'],0.739,0.649,4.0,-8.89,1.0,0.118,0.776,0.0,0.086,0.749,118.055,181827.0,4.0	
45,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:1TS55Vgmn2rwNvaNFP4ZTj,You're Welcome - Demo,Lin-Manuel Miranda,['Lin-Manuel Miranda'],0.782,0.56,0.0,-7.915,1.0,0.228,0.362,0.0,0.29,0.408,135.168,157360.0,4.0	
46,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:6zkf9XiGqi7PXPMLrkyHWR,Shiny - Demo,Lin-Manuel Miranda,['Lin-Manuel Miranda'],0.674,0.701,2.0,-6.956,1.0,0.142,0.685,0.0,0.167,0.408,146.111,184267.0,4.0	
47,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:52xOIchaCeR8r1S4iyRvY1,Prologue - Score Demo,Mark Mancina,['Mark Mancina'],0.315,0.61,7.0,-14.014,1.0,0.0872,0.163,0.821,0.112,0.121,153.646,146107.0,4.0	
48,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:3H0qlRXLI0R0B6HRZhoJTv,Village Crazy Lady - Score Demo,Mark Mancina,['Mark Mancina'],0.526,0.1,0.0,-26.65,1.0,0.0416,0.965,0.835,0.107,0.434,156.011,44987.0,4.0	
49,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:5sLA16kNCBbGkx08ui3Z23,Cavern - Score Demo,Mark Mancina,['Mark Mancina'],0.233,0.0269,7.0,-23.387,0.0,0.0381,0.659,0.881,0.123,0.0299,51.99,125413.0,4.0	
50,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:7HsCmonROWdAi1ZhnAMX5C,"Frozen Heart - From ""Frozen""/Soundtrack Version",Cast - Frozen,['Cast - Frozen'],0.538,0.481,2.0,-8.716,0.0,0.0997,0.545,0.0,0.086,0.191,95.914,105293.0,4.0	
51,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:11g9GgpchfORJxVEYFFDoL,"Do You Want to Build a Snowman? - From ""Frozen""/Soundtrack Version",Kristen Bell,"['Kristen Bell', 'Agatha Lee Monn', 'Katie Lopez']",0.306,0.121,0.0,-15.551,0.0,0.0554,0.85,0.000176,0.257,0.166,174.055,206507.0,4.0	
52,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:4iGIvHmNRzi8mkTFE1ksAZ,"For the First Time in Forever - From ""Frozen""/Soundtrack Version",Kristen Bell,"['Kristen Bell', 'Idina Menzel']",0.354,0.411,0.0,-6.018,1.0,0.0344,0.815,1e-06,0.106,0.43,90.831,225080.0,4.0	
53,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:6DN9kjhkonicpAAXXo2UlQ,"Love Is an Open Door - From ""Frozen""/Soundtrack Version",Kristen Bell,"['Kristen Bell', 'Santino Fontana']",0.737,0.637,6.0,-6.308,0.0,0.0735,0.262,0.0,0.319,0.537,100.033,124733.0,4.0	
54,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:6kOXFFNTzraDTj6fceHenx,"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,['Idina Menzel'],0.541,0.485,8.0,-6.85,1.0,0.031,0.558,0.0,0.12,0.369,136.956,223840.0,4.0	
55,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:7hdzw6tHsdsbwIlreTfr8q,"Reindeer(s) Are Better Than People - From ""Frozen"" / Soundtrack Version",Jonathan Groff,['Jonathan Groff'],0.595,0.233,2.0,-14.183,1.0,0.193,0.803,0.0,0.114,0.409,138.814,50960.0,4.0	
56,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:4dT14t0kG0bPlHzAp2Sx9k,"In Summer - From ""Frozen""/Soundtrack Version",Josh Gad,['Josh Gad'],0.5,0.342,7.0,-9.536,1.0,0.175,0.536,0.0,0.59,0.684,77.124,110987.0,1.0	
57,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:6xw7EtxEKWlr1mJCyKbbtl,"For the First Time in Forever (Reprise) - From ""Frozen""/Soundtrack Version",Kristen Bell,"['Kristen Bell', 'Idina Menzel']",0.362,0.338,9.0,-9.321,1.0,0.0393,0.806,0.0,0.3,0.389,93.999,149640.0,4.0	
58,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:6wbL9knMHMZWw8HadD20bG,"Fixer Upper - From ""Frozen""/Soundtrack Version",Maia Wilson,"['Maia Wilson', 'Cast - Frozen']",0.591,0.53,9.0,-6.123,1.0,0.127,0.441,0.0,0.0967,0.707,103.047,182107.0,4.0	
59,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:2SANCHGBHuA1tOCHIaXqKH,"Let It Go - From ""Frozen / Single Version",Demi Lovato,['Demi Lovato'],0.505,0.624,7.0,-6.513,1.0,0.0371,0.0235,0.0,0.5,0.215,139.849,224387.0,4.0	
60,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:2NKLKxbltMy2pCUEpCKRvb,"Vuelie - From ""Frozen""/Score",Christophe Beck,"['Christophe Beck', 'Frode Fjellheim', 'Cantus']",0.334,0.145,9.0,-14.682,0.0,0.0337,0.975,0.281,0.085,0.195,87.617,95987.0,4.0	
61,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:3Rp3lrMYfuLqoErj93Myev,"Elsa and Anna - From ""Frozen""/Score",Christophe Beck,['Christophe Beck'],0.254,0.173,10.0,-20.266,1.0,0.0488,0.952,0.529,0.0435,0.13,97.934,163547.0,3.0	
62,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:1QGYHMkyAbtRjkhFh3LRcD,"The Trolls - From ""Frozen""/Score",Christophe Beck,['Christophe Beck'],0.118,0.116,8.0,-22.348,0.0,0.0379,0.949,0.432,0.0848,0.0809,88.615,108040.0,3.0	
63,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:1reqEaegrN0WsShOcnJY9o,"Coronation Day - From ""Frozen""/Score",Christophe Beck,['Christophe Beck'],0.427,0.22,3.0,-18.653,1.0,0.0343,0.981,0.927,0.135,0.242,82.021,74880.0,4.0	
64,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:6hTGAJoUYljMsqOvClRaMJ,"Heimr Ã€rnadalr - From ""Frozen""/Score",Christophe Beck,['Christophe Beck'],0.162,0.0757,7.0,-24.192,1.0,0.0389,0.994,0.918,0.246,0.0554,145.34,85600.0,5.0	
65,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:3ea9oA4JZxd4yJCUkgE3EK,"Winter's Waltz - From ""Frozen""/Score",Christophe Beck,['Christophe Beck'],0.199,0.156,7.0,-16.916,1.0,0.0388,0.813,0.862,0.348,0.18,137.234,58920.0,3.0	
66,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:464QxOsQ8D0k1lU7pgPFSo,"Sorcery - From ""Frozen""/Score",Christophe Beck,['Christophe Beck'],0.0748,0.29,0.0,-16.387,1.0,0.0525,0.895,0.787,0.143,0.034,73.964,196053.0,3.0	
67,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:1u3zwk3v5Us80zOMcyTHbu,"Royal Pursuit - From ""Frozen""/Score",Christophe Beck,['Christophe Beck'],0.231,0.323,0.0,-15.263,1.0,0.0431,0.937,0.919,0.616,0.038,82.033,62373.0,1.0	
68,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:3sG2fMpfH2tLhMTpwiTUSw,"Onward and Upward - From ""Frozen""/Score",Christophe Beck,['Christophe Beck'],0.428,0.11,1.0,-21.496,1.0,0.0501,0.982,0.754,0.132,0.0813,151.335,114133.0,3.0	
69,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:2oiEfpO5MO4UQUrReTIo8o,"Wolves - From ""Frozen""/Score",Christophe Beck,['Christophe Beck'],0.362,0.429,8.0,-12.67,1.0,0.043,0.545,0.777,0.156,0.0366,128.969,104680.0,4.0	
70,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:1Sx6Oo0lLOCdYPctbLcTXa,"The North Mountain - From ""Frozen""/Score",Christophe Beck,['Christophe Beck'],0.238,0.058,1.0,-24.71,0.0,0.0465,0.979,0.678,0.122,0.0331,115.687,93253.0,3.0	
71,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:6IWVkwz4negWkBE0GOPGTG,"We Were So Close - From ""Frozen""/Score",Christophe Beck,['Christophe Beck'],0.126,0.0918,6.0,-23.62,1.0,0.0399,0.974,0.827,0.81,0.0377,70.368,113507.0,4.0	
72,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:1jEOISCfdKuF7LIahFBJsE,"Marshmallow Attack! - From ""Frozen""/Score",Christophe Beck,['Christophe Beck'],0.425,0.261,3.0,-11.419,1.0,0.0633,0.893,0.0664,0.232,0.139,136.188,102680.0,4.0	
73,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:5B5MP1u6pDv7tlOxhE1rNx,"Conceal, Don't Feel - From ""Frozen""/Score",Christophe Beck,['Christophe Beck'],0.245,0.116,9.0,-18.063,0.0,0.043,0.956,0.552,0.244,0.0345,80.423,67493.0,3.0	
74,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:3GqWijFil56OR5KR3Vqdxt,"Only An Act of True Love - From ""Frozen""/Score",Christophe Beck,['Christophe Beck'],0.25,0.154,5.0,-21.097,0.0,0.0446,0.959,0.787,0.198,0.0395,77.555,65747.0,4.0	
75,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:474duNyYSX6aCg2kp1KoMd,"Summit Siege - From ""Frozen""/Score",Christophe Beck,['Christophe Beck'],0.281,0.576,8.0,-11.455,1.0,0.0705,0.527,0.0571,0.118,0.0726,110.04,152733.0,4.0	
76,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:7u3D9APia39acrPnqOPF75,"Return to Arendelle - From ""Frozen""/Score",Christophe Beck,['Christophe Beck'],0.207,0.362,0.0,-13.734,1.0,0.0598,0.928,0.686,0.112,0.034,144.479,96427.0,4.0	
77,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:58xDZq4BpkQKNcl2ZlB30y,"Treason - From ""Frozen""/Score",Christophe Beck,['Christophe Beck'],0.177,0.108,1.0,-17.971,0.0,0.0428,0.732,0.942,0.126,0.0354,132.591,95227.0,4.0	
78,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:69nR4y3Qq0D86WRIgdnC5Y,"Some People Are Worth Melting For - From ""Frozen""/Score",Christophe Beck,['Christophe Beck'],0.133,0.0469,4.0,-23.376,1.0,0.0425,0.967,0.814,0.411,0.0396,87.705,126040.0,3.0	
79,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:6WLgxPzhMaPYXq3tn36KfI,"Whiteout - From ""Frozen""/Score",Christophe Beck,['Christophe Beck'],0.145,0.322,4.0,-16.149,0.0,0.0373,0.815,0.631,0.415,0.0392,90.902,255587.0,4.0	
80,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:1spbnH9SSogbPmnH2SvoBH,"The Great Thaw (Vuelie Reprise) - From ""Frozen""/Score",Christophe Beck,"['Christophe Beck', 'Frode Fjellheim']",0.14,0.151,4.0,-17.419,1.0,0.0426,0.94,0.583,0.0711,0.0381,77.516,148693.0,4.0	
81,2lfqRceJLjF8rSeo5P7SWW,Frozen,spotify:track:1sT1qyM1McqcqX6aicjlc4,"Epilogue - From ""Frozen""/Score",Christophe Beck,['Christophe Beck'],0.269,0.114,8.0,-17.895,1.0,0.0385,0.966,0.718,0.0861,0.071,111.331,186200.0,4.0	
82,4ZZvKnA1YJ2KcwjMmHBinq,Holiday Inn,spotify:track:53Sdel7Ht1odgaa2oIsAKV,Happy Holiday,Bing Crosby,"['Bing Crosby', 'The Music Maids & Hal', 'John Scott Trotter & His Orchestra']",0.65,0.296,10.0,-13.642,1.0,0.0584,0.808,0.139,0.22,0.778,94.809,145787.0,4.0	
83,4ZZvKnA1YJ2KcwjMmHBinq,Holiday Inn,spotify:track:08AhotnRnEihhaC22lNYZR,"Be Careful, It's My Heart",Bing Crosby,"['Bing Crosby', 'John Scott Trotter & His Orchestra']",0.386,0.215,2.0,-14.705,1.0,0.0392,0.612,0.0409,0.284,0.378,127.721,162280.0,5.0	
84,4ZZvKnA1YJ2KcwjMmHBinq,Holiday Inn,spotify:track:2VbWExBjCyfJGPFJaoyY3o,Abraham,Bing Crosby,"['Bing Crosby', 'Ken Darby Singers', 'John Scott Trotter & His Orchestra']",0.493,0.227,5.0,-12.053,0.0,0.0592,0.708,0.535,0.632,0.739,168.439,165000.0,4.0	
85,4ZZvKnA1YJ2KcwjMmHBinq,Holiday Inn,spotify:track:1psvnbf5yZLqPnHRjGFsXB,Easter Parade,Bing Crosby,['Bing Crosby'],0.366,0.147,5.0,-16.26,1.0,0.0463,0.907,0.0,0.124,0.403,90.104,131827.0,3.0	
86,4ZZvKnA1YJ2KcwjMmHBinq,Holiday Inn,spotify:track:1VjqKllNL2aXdjE6kt2IoL,Song Of Freedom,Bing Crosby,"['Bing Crosby', 'John Scott Trotter & His Orchestra', 'Ken Darby Singers']",0.546,0.262,10.0,-13.835,1.0,0.0632,0.854,0.00178,0.224,0.858,170.679,142067.0,4.0	
87,4ZZvKnA1YJ2KcwjMmHBinq,Holiday Inn,spotify:track:6FjnEJYawydkfLN7CtHWbF,I Can't Tell A Lie,Fred Astaire,"['Fred Astaire', 'Bob Crosby & His Orchestra']",0.615,0.196,1.0,-14.188,1.0,0.137,0.885,0.326,0.679,0.68,79.401,160813.0,3.0	
88,4ZZvKnA1YJ2KcwjMmHBinq,Holiday Inn,spotify:track:5nLuJroduXGOTMNm8UCdNY,Lazy,Bing Crosby,['Bing Crosby'],0.698,0.146,10.0,-14.876,1.0,0.0423,0.816,0.0296,0.303,0.571,113.264,148813.0,3.0	
