,imdb_id,title,rating,ratingcount,certificate,genres,gross_ww,gross_domestic,budget,Aged_30_44_rat,Aged_30_44_totrat,US_users_rat,US_users_totrat,Females_rat,Females_totrat,Aged_45plus_rat,Aged_45plus_totrat,Aged_18_29_rat,Aged_18_29_totrat,Males_rat,Males_totrat,Aged_under_18_rat,Aged_under_18_totrat,Non_US_users_rat,Non_US_users_totrat
17,tt0120855,Tarzan,7.3,230568,G,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Music']",448191819,171091819,130000000,7.1,93057,7.3,63947,7.5,46688,7.0,17897,7.7,42313,7.2,114537,7.2,147,7.3,144877
18,tt0338348,The Polar Express,6.6,219435,G,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",316897787,189528738,165000000,6.5,80431,6.7,67852,6.8,38560,6.7,27185,6.7,33805,6.5,110383,7.0,194,6.6,134345
19,tt0190590,"O Brother, Where Art Thou?",7.7,316328,PG-13,"['Adventure', 'Comedy', 'Crime', 'Music']",71870729,45512588,26000000.0,7.6,143927,8.0,98784,7.7,34346,7.7,58579,7.7,25427,7.7,200885,7.7,53,7.5,182160
20,tt4465564,Fifty Shades Darker,4.6,104637,R,"['Drama', 'Romance', 'Thriller']",381545846,114581250,55000000,4.4,36250,4.7,20838,5.3,31585,4.5,8436,4.6,18670,4.1,38105,3.8,55,4.5,77091
21,tt2224026,Home,6.6,104442,PG,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",386041607,177397510,135000000,6.5,41345,6.5,24453,7.1,23403,6.4,10967,6.7,15806,6.4,49906,6.4,138,6.5,70311
22,tt5726616,Call Me by Your Name,7.8,279599,R,"['Drama', 'Romance']",43143046,18095701,4000000.0,7.7,81689,7.9,54981,8.1,57105,7.3,21689,8.1,49773,7.6,107108,8.0,262,7.8,217703
23,tt0083564,Annie,6.6,46649,PG,"['Comedy', 'Drama', 'Family', 'Musical']",57063861,57059003,50000000.0,6.5,17064,6.7,21629,7.2,14860,6.5,11280,6.5,4219,6.2,19077,6.6,21,6.4,19763
24,tt1049413,Up,8.3,1051591,PG,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family']",735099102,293004164,175000000,8.3,437212,8.4,235934,8.4,172170,8.1,92984,8.3,154222,8.2,556759,8.5,658,8.2,692416
25,tt1126591,Burlesque,6.4,87566,PG-13,"['Drama', 'Music', 'Musical', 'Romance']",89520336,39440655,55000000,6.2,39852,6.5,21491,6.7,38322,6.2,11759,6.8,13715,6.1,29614,5.8,14,6.3,56994
26,tt0092890,Dirty Dancing,7.0,237271,PG-13,"['Drama', 'Music', 'Romance']",214577242,64577242,6000000,6.9,97191,7.2,63830,7.7,79177,6.9,40296,7.2,23626,6.6,88848,6.8,78,7.0,150468
27,tt0955308,Robin Hood,6.6,272573,PG-13,"['Action', 'Adventure', 'Drama', 'History']",321669741,105269730,200000000,6.6,149267,6.6,52401,6.8,29316,6.6,39876,6.7,24864,6.6,192174,6.9,23,6.6,198470
28,tt2948356,Zootopia,8.0,505382,PG,"['Animation', 'Adventure', 'Comedy', 'Crime', 'Family', 'Mystery']",1025521689,341268248,150000000.0,7.9,177181,8.0,119085,8.2,76128,7.8,35369,8.2,82203,7.9,247170,8.0,502,8.0,353022
29,tt3469046,Despicable Me 3,6.2,139087,PG,"['Animation', 'Adventure', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",1034800131,264624300,80000000,6.2,47088,6.2,31423,6.5,19452,6.3,13589,6.2,19637,6.2,68301,5.9,272,6.2,104484
30,tt0266543,Finding Nemo,8.2,1050877,G,"['Animation', 'Adventure', 'Comedy', 'Family']",941637960,380843261,94000000,8.1,430369,8.3,245067,8.4,177609,8.1,102526,8.3,152471,8.1,550544,8.1,561,8.1,670011
31,tt0120737,The Lord of the Rings: The Fellowship of the Ring,8.8,1886663,PG-13,"['Action', 'Adventure', 'Drama', 'Fantasy']",898204420,316115420,93000000,8.8,762719,8.9,410830,8.8,233416,8.7,217112,9.0,220230,8.8,1042047,8.9,676,8.8,1196999
32,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,8.1,1135222,PG-13,"['Action', 'Adventure', 'Fantasy']",654264015,305413918,140000000,8.0,497611,8.1,254937,8.2,171743,7.7,115666,8.2,152525,8.0,636411,8.3,473,8.0,725247
33,tt0085549,Flashdance,6.2,55399,R,"['Drama', 'Music', 'Romance']",92921203,92921203,7500000.0,6.1,20009,6.2,15079,6.4,15075,6.2,16772,6.2,3444,6.1,26595,6.1,15,6.2,34873
34,tt1690953,Despicable Me 2,7.3,404941,PG,"['Animation', 'Adventure', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",970766005,368065385,76000000,7.3,168182,7.2,82079,7.6,74720,7.3,36368,7.4,64199,7.2,217573,7.0,339,7.3,273589
35,tt0382932,Ratatouille,8.1,746443,G,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",623726085,206445654,150000000,8.0,318551,8.1,175605,8.1,123000,7.9,71345,8.2,106276,8.0,398768,8.5,545,8.0,502217
36,tt2788732,Pete's Dragon,6.7,59354,PG,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']",143695338,76233151,65000000,6.6,24932,6.8,16169,6.9,9403,6.7,9230,6.8,6614,6.6,34399,6.6,49,6.6,40891
